Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
365.10575,C00208,M+Na[1+],0.000273533229972145
365.10575,C00252,M+Na[1+],0.000273533229972145
365.10575,C01083,M+Na[1+],0.000273533229972145
123.05526,C00153,M+H[1+],1.64667699920074e-05
123.05526,C05828,M-H2O+H[1+],1.64667700062182e-05
364.1716,C19691,M+K[1+],0.00122353323001789
134.06001,C00547,M-H4O2+H[1+],3.35332299812308e-05
134.06001,C05637,M-CO+H[1+],3.35332300096525e-05
134.06001,C05639,M-CO+H[1+],3.35332300096525e-05
134.06001,C05660,M-C3H4O2+H[1+],6.64667699936672e-05
134.06001,C00314,M-H4O2+H[1+],3.35332299812308e-05
158.08109,C00437,M-NH3+H[1+],8.64667700284372e-05
303.23203,C06428,M+H[1+],0.000153533229990899
303.23203,C01176,M-CO+H[1+],0.00025353323002264
303.23203,C02140,M-CO2+H[1+],0.000153533229990899
303.23203,C03205,M-CO+H[1+],0.00025353323002264
303.23203,C05478,M-HCOOH+H[1+],5.35332300160007e-05
303.23203,C05487,M-HCOOH+H[1+],5.35332300160007e-05
303.23203,C05488,M-CO2+H[1+],0.000153533229990899
303.23203,C05497,M-CO2+H[1+],0.000153533229990899
303.23203,C05498,M-CO+H[1+],0.00025353323002264
303.23203,C04742,M-H2O+H[1+],0.00025353323002264
303.23203,C04805,M-H2O+H[1+],0.00025353323002264
303.23203,C14748,M-H2O+H[1+],0.00025353323002264
303.23203,C14749,M-H2O+H[1+],0.00025353323002264
303.23203,C14768,M-H2O+H[1+],0.00025353323002264
303.23203,C14769,M-H2O+H[1+],0.00025353323002264
303.23203,C14770,M-H2O+H[1+],0.00025353323002264
303.23203,C14771,M-H2O+H[1+],0.00025353323002264
303.23203,C14772,M-H4O2+H[1+],0.00025353323002264
303.23203,C14773,M-H4O2+H[1+],0.00025353323002264
303.23203,C14774,M-H4O2+H[1+],0.00025353323002264
303.23203,C14775,M-H4O2+H[1+],0.00025353323002264
303.23203,C14777,M-H2O+H[1+],0.00025353323002264
303.23203,C14778,M-H2O+H[1+],0.00025353323002264
303.23203,C00376,M+H2O+H[1+],0.000153533229990899
303.23203,C02110,M+H2O+H[1+],0.000153533229990899
303.23203,C16681,M+H2O+H[1+],0.000153533229990899
527.15847,C00492,M+Na[1+],0.000193533230003595
527.15847,C05404,M+Na[1+],0.000193533230003595
527.15847,C00721,M+Na[1+],0.000158557229951839
106.04982,C00065,M+H[1+],5.6466769990493e-05
106.04982,C00740,M+H[1+],5.6466769990493e-05
106.04982,C00049,M-CO+H[1+],4.35332300128266e-05
106.04982,C00402,M-CO+H[1+],4.35332300128266e-05
106.04982,C02218,M+H2O+H[1+],5.6466769990493e-05
104.07052,C01205,M+H[1+],5.6466769990493e-05
104.07052,C00334,M+H[1+],5.6466769990493e-05
104.07052,C01026,M+H[1+],5.6466769990493e-05
104.07052,C02356,M+H[1+],5.6466769990493e-05
104.07052,C03284,M+H[1+],5.6466769990493e-05
104.07052,C00025,M-CO2+H[1+],0.000156466769993813
104.07052,C00430,M-CO+H[1+],4.35332300128266e-05
104.07052,C01110,M-CO+H[1+],4.35332300128266e-05
104.07052,C01157,M-CO+H[1+],4.35332300128266e-05
104.07052,C01165,M-CO+H[1+],4.35332300128266e-05
104.07052,C05147,M-CO+H[1+],4.35332300128266e-05
104.07052,C05938,M-CO2+H[1+],0.000156466769993813
104.07052,C00217,M-CO2+H[1+],0.000156466769993813
104.07052,C03440,M-CO+H[1+],4.35332300128266e-05
241.11833,C00449,M-H4O2+H[1+],0.000153533229990899
241.11833,C00272,M[1+],0.000829999999979236
123.04404,C00544,M-HCOOH+H[1+],0.000136466770001675
123.04404,C01161,M-HCOOH+H[1+],0.000136466770001675
123.04404,C05577,M-HCOOH+H[1+],0.000136466770001675
99.04389,C00148,M-NH3+H[1+],0.000186466769989124
99.04389,C00763,M-NH3+H[1+],0.000186466769989124
99.04389,C01801,M-H4O2+H[1+],8.64667699858046e-05
99.04389,C00141,M-H2O+H[1+],8.64667700000155e-05
99.04389,C05576,M-C3H4O2+H[1+],0.000186466769974913
259.12886,C19488,M(S34)+H[1+],0.000583533229985278
259.12886,C19488,M(Cl37)+H[1+],0.000816466770061197
259.12886,C00449,M-H2O+H[1+],8.35332299971014e-05
157.01314,C00158,M-H4O2+H[1+],6.35332299907532e-05
157.01314,C00311,M-H4O2+H[1+],6.35332299907532e-05
157.01314,C00417,M-H2O+H[1+],6.35332299907532e-05
136.07566,C00082,M-HCOOH+H[1+],0.000116466770009538
136.07566,C03758,M-H2O+H[1+],1.64667700062182e-05
86.05997,C01205,M-H2O+H[1+],6.46676998883322e-06
86.05997,C00334,M-H2O+H[1+],6.46676998883322e-06
86.05997,C03912,M-CO+H[1+],6.46676998883322e-06
86.05997,C00430,M-HCOOH+H[1+],0.000106466769977942
86.05997,C01026,M-H2O+H[1+],6.46676998883322e-06
86.05997,C02356,M-H2O+H[1+],6.46676998883322e-06
86.05997,C03284,M-H2O+H[1+],6.46676998883322e-06
86.05997,C01110,M-HCOOH+H[1+],0.000106466769977942
86.05997,C01157,M-HCOOH+H[1+],0.000106466769977942
86.05997,C01165,M-HCOOH+H[1+],0.000106466769977942
86.05997,C03564,M-CO+H[1+],6.46676998883322e-06
86.05997,C04281,M-CO2+H[1+],0.000106466769977942
86.05997,C05147,M-HCOOH+H[1+],0.000106466769977942
86.05997,C02237,M-CO2+H[1+],0.000106466769977942
86.05997,C03440,M-HCOOH+H[1+],0.000106466769977942
86.05997,C04282,M-CO2+H[1+],0.000106466769977942
86.05997,C01879,M-CO2+H[1+],0.000106466769977942
140.0342,C03680,M-NH3+H[1+],7.6466770025263e-05
140.0342,C01042,M-H4O2+H[1+],2.35332299780566e-05
140.0342,C02220,M-H2O+H[1+],2.35332300064783e-05
140.0342,C03722,M-CO+H[1+],2.35332300064783e-05
140.0342,C04409,M-HCOOH+H[1+],7.64667699968413e-05
185.09204,C00526,M-CO2+H[1+],3.64667700125665e-05
111.08043,C01176,M+3H[3+],1.3133436652879e-05
111.08043,C03205,M+3H[3+],1.3133436652879e-05
111.08043,C05498,M+3H[3+],1.3133436652879e-05
175.10771,C00437,M+H[1+],3.35332299812308e-05
171.06278,C00418,M+Na[1+],9.64667700031896e-05
124.07566,C00547,M-HCOOH+H[1+],0.000116466769995327
